,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0, o__Sphingomonadales (UID3310), 26, 569, 293,532,32, 5,0,0, 0,3.81,0.72, 0.00,1288,1196,253,family,0.84,0.78,0.8,0.32,0.94,0.89,0.69,False
bin.1,k__Bacteria (UID203),5449,104,58, 73,29, 2,0,0, 0, 50.00,3.45, 0.00,1966,1902,422,genus,0.73,0.7,0.75,0.13,0.3,0.9,0.64,False
bin.10, c__Gammaproteobacteria (UID4443),356, 448, 269,100, 346, 2,0,0, 0, 83.98,0.74,50.00,2835,2749,395,genus,0.89,0.86,0.31,0.05,0.11,0.75,0.65,True
bin.102,c__Gammaproteobacteria (UID4443),356, 451, 270,305, 116, 28, 2,0, 0, 34.54,9.68, 5.88,1397,1338,262,phylum,0.97,0.93,0.93,0.09,0.2,0.72,0.67,False
bin.105,c__Gammaproteobacteria (UID4443),356, 451, 270,363,82, 5,1,0, 0, 18.63,1.42, 0.00,870,744,218,phylum,0.92,0.79,0.94,0.06,0.12,0.7,0.55,False
bin.106,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,261,247,63,phylum,0.94,0.89,0.77,0.06,0.13,0.56,0.5,False
bin.108,root (UID1), 5656, 56,24, 54,2,0,0,0, 0,8.33,0.00, 0.00,511,462,172,kingdom,1.0,0.9,0.61,0.04,0.09,0.51,0.46,False
bin.11, k__Bacteria (UID203),5449,104,58, 76,28, 0,0,0, 0, 43.97,0.00, 0.00,1285,1192,283,phylum,0.96,0.89,0.39,0.03,0.05,0.53,0.47,True
bin.112,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,329,298,47,genus,0.64,0.58,0.62,0.31,0.98,0.79,0.46,False
bin.126,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,252,102,73,kingdom,1.0,0.4,0.0,0.0,0.0,0.38,0.15,True
bin.128,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,493,330,92,genus,0.69,0.46,0.58,0.39,1.57,0.79,0.37,False
bin.129,k__Bacteria (UID203),5449,104,58, 69,32, 3,0,0, 0, 50.00,2.59,100.00,1089,1029,101,phylum,0.94,0.89,0.47,0.05,0.1,0.56,0.5,False
bin.13, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,204,192,81,phylum,0.96,0.91,0.48,0.03,0.06,0.46,0.41,False
bin.132, k__Archaea (UID2),207, 149, 107,136,12, 1,0,0, 0,5.42,0.31, 0.00,356,142,64,kingdom,1.0,0.4,0.0,0.08,0.17,0.37,0.15,True
bin.139, k__Archaea (UID2),207, 149, 107,121,28, 0,0,0, 0, 16.82,0.00, 0.00,525,460,136,kingdom,1.0,0.88,0.3,0.08,0.16,0.62,0.55,True
bin.144,p__Euryarchaeota (UID3), 148, 188, 125,127,58, 3,0,0, 0, 36.50,2.40,66.67,828,780,199,phylum,0.97,0.91,0.39,0.03,0.07,0.86,0.79,True
bin.15,k__Archaea (UID2),207, 149, 107,112,36, 1,0,0, 0, 25.59,0.47,100.00,533,504,121,phylum,0.93,0.88,0.77,0.06,0.12,0.9,0.79,False
bin.150, k__Bacteria (UID2569),434, 278, 186,216,61, 1,0,0, 0, 17.22,0.54, 0.00,382,334,103,phylum,0.96,0.84,0.19,0.04,0.09,0.53,0.45,True
bin.158,k__Bacteria (UID203),5449,104,58, 95,9,0,0,0, 0, 15.52,0.00, 0.00,449,437,71,order,0.91,0.89,0.64,0.1,0.21,0.91,0.81,False
bin.16, c__Gammaproteobacteria (UID4443),356, 451, 270,179, 249, 17, 5,1, 0, 54.73,4.65,13.16,1522,1416,258,phylum,0.92,0.85,0.51,0.03,0.07,0.56,0.48,False
bin.165,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,736,303,77,kingdom,1.0,0.41,0.06,0.04,0.09,0.42,0.17,True
bin.17, k__Bacteria (UID203),5449,104,58, 95,9,0,0,0, 0, 15.52,0.00, 0.00,1975,1945,421,kingdom,1.0,0.98,0.0,0.0,0.0,0.93,0.92,True
bin.179,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,436,329,37,order,0.8,0.6,0.87,0.06,0.12,0.69,0.41,False
bin.18, c__Gammaproteobacteria (UID4443),356, 451, 270,240, 205, 6,0,0, 0, 44.47,0.70,83.33,1120,1107,187,genus,0.87,0.86,0.81,0.16,0.38,0.9,0.78,False
bin.184,k__Bacteria (UID203),5449, 99,53, 83,11, 5,0,0, 0, 19.81,4.91,20.00,549,517,101,phylum,0.95,0.9,0.92,0.15,0.34,0.58,0.52,False
bin.187,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,409,159,52,kingdom,1.0,0.39,0.0,0.08,0.18,0.4,0.16,True
bin.188,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,176,78,42,kingdom,1.0,0.44,0.0,0.0,0.0,0.38,0.17,True
bin.19, k__Bacteria (UID203),5449,104,58, 81,22, 1,0,0, 0, 24.97,1.72, 0.00,956,884,198,class,0.81,0.75,0.55,0.17,0.43,0.63,0.47,False
bin.2,p__Euryarchaeota (UID3), 148, 188, 125,133,55, 0,0,0, 0, 27.89,0.00, 0.00,534,477,133,kingdom,1.0,0.89,0.12,0.07,0.15,0.62,0.56,True
bin.202,root (UID1), 5656, 56,24, 54,2,0,0,0, 0,8.33,0.00, 0.00,281,237,82,phylum,0.93,0.79,0.52,0.13,0.31,0.54,0.42,False
bin.206,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,374,350,45,class,0.96,0.9,0.4,0.03,0.06,0.81,0.72,True
bin.21, k__Bacteria (UID203),5449,103,58, 62,30, 11, 0,0, 0, 57.52, 17.24,100.00,4815,4733,728,kingdom,1.0,0.98,0.0,0.0,0.0,0.94,0.93,True
bin.216,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,787,719,169,family,0.52,0.48,0.31,0.78,7.55,0.57,0.27,True
bin.22,k__Bacteria (UID2570),433, 274, 183,212,45, 10, 7,0, 0, 16.85,2.28,29.03,459,413,84,order,0.52,0.47,0.33,0.59,3.41,0.51,0.24,True
