,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,k__Bacteria (UID2982),88,230,148,86,140,4,0,0,0,63.27,2.36,0.0,2671,2334,572,genus,0.53,0.46,0.26,0.12,0.29,0.5,0.23,True
SemiBin_1,k__Bacteria (UID203),5449,103,57,81,22,0,0,0,0,31.9,0.0,0.0,801,790,196,genus,0.97,0.95,0.47,0.03,0.06,0.98,0.93,False
SemiBin_10,k__Bacteria (UID203),5449,103,57,91,12,0,0,0,0,9.73,0.0,0.0,249,238,74,order,0.98,0.94,0.35,0.06,0.13,0.77,0.73,True
SemiBin_11,root (UID1),5656,56,24,54,2,0,0,0,0,8.33,0.0,0.0,490,414,153,order,0.73,0.62,0.3,0.31,0.96,0.49,0.3,True
SemiBin_112,k__Bacteria (UID203),5449,104,58,98,6,0,0,0,0,10.34,0.0,0.0,233,223,72,family,0.94,0.9,0.36,0.14,0.33,0.65,0.58,True
SemiBin_116,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,271,243,37,phylum,0.99,0.89,0.73,0.03,0.07,0.84,0.74,False
SemiBin_117,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,242,217,49,genus,0.7,0.63,0.23,0.8,9.71,0.62,0.39,True
SemiBin_119,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,307,270,39,genus,0.68,0.6,0.57,0.7,5.38,0.81,0.48,False
SemiBin_121,p__Bacteroidetes (UID2605),350,314,208,8,302,4,0,0,0,96.15,1.47,25.0,2237,2169,84,kingdom,1.0,0.97,0.0,0.0,0.0,0.97,0.94,True
SemiBin_124,o__Clostridiales (UID1212),172,263,149,15,231,17,0,0,0,91.28,5.87,23.53,1858,1791,57,family,0.93,0.9,0.27,0.09,0.2,0.93,0.84,True
SemiBin_127,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,587,314,74,order,0.82,0.44,0.68,0.44,1.5,0.67,0.29,False
SemiBin_128,k__Bacteria (UID203),5449,104,58,101,3,0,0,0,0,4.31,0.0,0.0,221,204,65,genus,0.74,0.68,0.22,0.38,1.44,0.62,0.42,True
SemiBin_13,p__Actinobacteria (UID2112),31,211,124,59,151,1,0,0,0,72.38,0.81,0.0,1330,1316,256,kingdom,1.0,0.99,0.0,0.0,0.0,0.95,0.94,True
SemiBin_130,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,221,214,33,phylum,0.99,0.95,0.89,0.05,0.11,0.96,0.92,False
SemiBin_132,p__Bacteroidetes (UID2605),350,314,208,7,302,5,0,0,0,99.2,0.56,60.0,2305,2243,74,family,0.93,0.91,0.2,0.04,0.09,0.82,0.75,True
SemiBin_136,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,247,222,22,phylum,0.97,0.87,0.56,0.04,0.08,0.64,0.56,False
SemiBin_14,p__Bacteroidetes (UID2605),350,314,208,3,307,4,0,0,0,99.2,1.92,0.0,1824,1763,85,kingdom,1.0,0.97,0.0,0.0,0.0,0.94,0.91,True
SemiBin_15,k__Bacteria (UID203),5449,103,57,85,18,0,0,0,0,23.13,0.0,0.0,465,460,133,kingdom,1.0,0.99,0.0,0.0,0.0,0.97,0.96,True
SemiBin_16,f__Lachnospiraceae (UID1286),57,420,207,153,265,2,0,0,0,70.94,0.97,0.0,1933,1868,350,class,0.99,0.96,0.31,0.15,0.33,0.9,0.86,True
SemiBin_17,k__Bacteria (UID203),5449,103,57,75,28,0,0,0,0,25.66,0.0,0.0,611,513,160,order,0.81,0.68,0.25,0.45,1.37,0.53,0.36,True
SemiBin_2,o__Clostridiales (UID1212),172,263,149,6,257,0,0,0,0,97.09,0.0,0.0,2408,2331,130,family,0.96,0.93,0.38,0.03,0.06,0.95,0.89,True
SemiBin_20,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,705,622,134,class,0.93,0.82,0.39,0.12,0.27,0.62,0.51,True
SemiBin_21,o__Bacteroidales (UID2657),160,492,269,294,197,1,0,0,0,42.46,0.02,0.0,1321,1303,333,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True
SemiBin_23,o__Clostridiales (UID1212),172,263,149,51,211,1,0,0,0,89.59,0.67,0.0,1735,1550,236,genus,0.72,0.65,0.17,0.49,1.71,0.58,0.38,True
SemiBin_24,o__Clostridiales (UID1212),172,263,149,178,85,0,0,0,0,35.74,0.0,0.0,567,498,144,phylum,0.94,0.83,0.27,0.39,1.07,0.53,0.44,True
SemiBin_27,o__Clostridiales (UID1212),172,263,149,55,206,2,0,0,0,79.8,0.73,50.0,1565,1511,209,genus,0.88,0.85,0.51,0.05,0.1,0.94,0.8,False
SemiBin_3,k__Bacteria (UID203),5449,104,58,80,24,0,0,0,0,31.82,0.0,0.0,1182,1172,255,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True
SemiBin_32,o__Clostridiales (UID1212),172,261,147,92,166,3,0,0,0,70.32,1.7,33.33,1905,1809,319,genus,0.68,0.65,0.31,0.2,0.54,0.72,0.47,True
SemiBin_33,k__Bacteria (UID203),5449,104,58,93,11,0,0,0,0,11.13,0.0,0.0,319,314,98,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.97,True
SemiBin_35,p__Bacteroidetes (UID2605),350,314,208,51,262,1,0,0,0,87.75,0.24,0.0,1587,1560,223,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.97,True
SemiBin_36,k__Bacteria (UID203),5449,104,58,84,20,0,0,0,0,26.65,0.0,0.0,964,945,255,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True
SemiBin_37,c__Clostridia (UID1118),387,223,124,16,203,4,0,0,0,90.86,2.69,0.0,2448,2282,244,genus,0.71,0.66,0.24,0.32,1.05,0.62,0.41,True
SemiBin_38,p__Actinobacteria (UID2112),31,211,124,141,69,1,0,0,0,34.89,0.4,0.0,846,820,214,order,0.99,0.96,0.47,0.04,0.07,0.93,0.89,False
SemiBin_39,c__Deltaproteobacteria (UID3218),61,284,169,22,261,1,0,0,0,93.29,0.3,0.0,2781,2714,381,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True
SemiBin_4,k__Bacteria (UID203),5449,102,56,82,19,1,0,0,0,28.93,0.89,100.0,1177,1162,237,kingdom,1.0,0.99,0.0,0.0,0.0,0.96,0.95,True
SemiBin_40,c__Clostridia (UID1118),387,223,124,18,202,3,0,0,0,88.17,2.42,0.0,2182,1980,214,order,0.89,0.8,0.1,0.06,0.13,0.57,0.46,True
SemiBin_41,p__Proteobacteria (UID3887),1487,255,158,139,115,1,0,0,0,45.12,0.04,0.0,660,648,157,order,0.98,0.97,0.28,0.09,0.19,0.98,0.95,True
SemiBin_43,p__Bacteroidetes (UID2605),350,314,208,137,177,0,0,0,0,65.73,0.0,0.0,1330,1289,293,kingdom,1.0,0.97,0.0,0.0,0.0,0.98,0.95,True
SemiBin_44,k__Bacteria (UID2565),2921,152,93,58,94,0,0,0,0,72.22,0.0,0.0,1202,1176,203,genus,0.99,0.97,0.43,0.03,0.06,0.97,0.94,True
SemiBin_47,p__Firmicutes (UID1022),100,295,158,222,73,0,0,0,0,17.06,0.0,0.0,350,344,86,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True
SemiBin_48,f__Bifidobacteriaceae (UID1462),65,476,217,158,314,4,0,0,0,70.35,0.54,50.0,1226,1196,251,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.94,True
SemiBin_49,o__Clostridiales (UID1212),172,263,149,62,197,4,0,0,0,88.28,2.35,75.0,2029,1904,162,family,0.9,0.84,0.05,0.68,4.49,0.62,0.52,True
SemiBin_5,o__Clostridiales (UID1212),172,263,149,18,237,8,0,0,0,93.05,1.0,87.5,1913,1793,149,class,0.94,0.88,0.08,0.16,0.38,0.61,0.54,True
SemiBin_50,p__Bacteroidetes (UID2605),350,314,208,39,274,1,0,0,0,95.08,0.48,0.0,2324,2289,175,kingdom,1.0,0.98,0.0,0.0,0.0,0.93,0.92,True
SemiBin_52,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,255,248,22,family,0.95,0.92,0.47,0.29,0.88,0.93,0.86,False
SemiBin_53,o__Clostridiales (UID1212),172,263,149,47,212,4,0,0,0,90.6,1.29,75.0,1792,1645,177,genus,0.72,0.66,0.06,0.83,9.33,0.6,0.4,True
SemiBin_54,k__Bacteria (UID203),5449,104,58,1,70,32,1,0,0,98.28,13.95,5.71,2365,2230,72,genus,0.71,0.67,0.13,0.47,1.39,0.74,0.5,True
SemiBin_55,c__Clostridia (UID1118),387,223,124,5,218,0,0,0,0,97.31,0.0,0.0,2136,2014,166,genus,0.65,0.61,0.13,0.28,0.8,0.65,0.4,True
SemiBin_56,o__Clostridiales (UID1212),172,261,147,66,189,6,0,0,0,89.59,2.72,100.0,1872,1829,146,kingdom,1.0,0.98,0.0,0.0,0.0,0.85,0.83,True
SemiBin_57,o__Bacteroidales (UID2657),160,492,269,26,460,6,0,0,0,95.94,1.77,33.33,2536,2478,205,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True
SemiBin_58,o__Clostridiales (UID1212),172,261,147,5,253,3,0,0,0,96.6,1.7,0.0,2144,2090,71,genus,0.95,0.93,0.4,0.06,0.12,0.97,0.9,True
SemiBin_59,k__Bacteria (UID203),5449,102,56,89,13,0,0,0,0,21.79,0.0,0.0,766,746,176,family,0.96,0.94,0.59,0.05,0.11,0.82,0.77,False
SemiBin_6,k__Bacteria (UID203),5449,104,58,82,21,1,0,0,0,32.92,1.72,0.0,727,664,184,genus,0.78,0.71,0.23,0.7,5.86,0.64,0.45,True
SemiBin_60,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,235,215,51,class,0.97,0.89,0.42,0.16,0.36,0.74,0.66,True
SemiBin_62,k__Bacteria (UID2982),88,229,147,4,225,0,0,0,0,97.28,0.0,0.0,2337,2262,150,kingdom,1.0,0.97,0.0,0.0,0.0,0.96,0.93,True
SemiBin_63,c__Clostridia (UID1118),387,223,124,131,92,0,0,0,0,45.6,0.0,0.0,778,713,178,genus,0.67,0.62,0.23,0.4,1.38,0.63,0.39,True
SemiBin_64,o__Clostridiales (UID1212),172,263,149,55,201,7,0,0,0,87.15,4.03,42.86,1983,1859,170,family,0.91,0.85,0.07,0.68,4.44,0.61,0.52,True
SemiBin_65,o__Clostridiales (UID1212),172,261,147,233,27,1,0,0,0,2.73,0.02,100.0,362,352,67,family,0.95,0.93,0.64,0.04,0.09,0.94,0.87,False
SemiBin_66,o__Clostridiales (UID1212),172,263,149,14,249,0,0,0,0,94.63,0.0,0.0,1841,1800,84,class,0.99,0.97,0.32,0.15,0.34,0.92,0.89,True
SemiBin_67,o__Clostridiales (UID1212),172,263,149,43,215,5,0,0,0,85.3,0.8,60.0,1693,1620,208,class,0.98,0.94,0.32,0.03,0.06,0.75,0.7,True
SemiBin_68,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,263,247,76,genus,0.9,0.84,0.76,0.63,3.04,0.85,0.72,False
SemiBin_69,o__Clostridiales (UID1212),172,263,149,97,159,7,0,0,0,61.07,1.31,14.29,1105,1079,213,family,0.96,0.94,0.04,0.1,0.22,0.94,0.89,True
SemiBin_7,k__Bacteria (UID203),5449,102,56,63,38,1,0,0,0,61.61,1.79,0.0,1736,1707,239,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.95,True
SemiBin_71,c__Clostridia (UID1118),387,223,124,60,161,2,0,0,0,70.41,0.54,0.0,1055,921,219,phylum,0.94,0.82,0.26,0.32,0.81,0.54,0.44,True
SemiBin_72,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,269,240,49,genus,0.91,0.81,0.57,0.35,1.1,0.81,0.65,False
SemiBin_79,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,516,507,85,genus,0.66,0.65,0.41,0.87,14.46,0.95,0.62,True
SemiBin_8,o__Clostridiales (UID1212),172,263,149,86,177,0,0,0,0,69.63,0.0,0.0,1578,1524,282,kingdom,1.0,0.97,0.0,0.0,0.0,0.95,0.91,True
SemiBin_80,o__Clostridiales (UID1212),172,263,149,6,256,1,0,0,0,96.64,0.34,0.0,1704,1674,68,family,0.95,0.94,0.3,0.03,0.07,0.97,0.91,True
SemiBin_84,o__Clostridiales (UID1212),172,263,149,7,256,0,0,0,0,97.99,0.0,0.0,2141,2023,107,family,0.89,0.84,0.12,0.25,0.72,0.71,0.59,True
SemiBin_89,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,223,200,50,genus,0.54,0.48,0.56,0.8,7.15,0.67,0.33,False
SemiBin_9,o__Clostridiales (UID1212),172,261,147,42,199,20,0,0,0,93.78,4.76,60.0,1905,1866,140,kingdom,1.0,0.98,0.0,0.0,0.0,0.93,0.91,True
SemiBin_90,o__Clostridiales (UID1212),172,263,149,5,256,2,0,0,0,96.64,0.69,100.0,1845,1737,55,genus,0.81,0.76,0.19,0.28,0.76,0.75,0.57,True
SemiBin_91,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,232,228,66,family,0.98,0.97,0.52,0.04,0.07,0.97,0.93,False
SemiBin_93,k__Bacteria (UID203),5449,98,58,83,14,1,0,0,0,20.0,1.72,0.0,541,533,138,genus,0.91,0.9,0.63,0.05,0.11,0.97,0.87,False
SemiBin_95,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,521,390,59,class,0.92,0.69,0.77,0.03,0.06,0.71,0.49,False
