,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_1,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,1092,410,147,kingdom,1.0,0.38,0.0,0.02,0.05,0.4,0.15,True
SemiBin_10,c__Gammaproteobacteria (UID4443),356,451,270,141,305,5,0,0,0,66.43,1.85,0.0,2014,1837,331,phylum,0.93,0.85,0.18,0.06,0.13,0.54,0.46,True
SemiBin_102,k__Bacteria (UID203),5449,104,58,86,18,0,0,0,0,15.05,0.0,0.0,870,810,179,family,0.75,0.7,0.25,0.57,2.14,0.6,0.42,True
SemiBin_103,c__Gammaproteobacteria (UID4274),112,577,287,303,269,5,0,0,0,46.74,1.48,40.0,900,851,180,class,0.94,0.89,0.42,0.05,0.11,0.63,0.56,True
SemiBin_104,c__Gammaproteobacteria (UID4274),112,577,287,46,516,15,0,0,0,90.02,2.67,40.0,1443,1411,27,class,0.96,0.94,0.02,0.02,0.05,0.62,0.59,True
SemiBin_105,k__Bacteria (UID1453),901,171,117,139,32,0,0,0,0,15.46,0.0,0.0,361,309,91,phylum,0.86,0.74,0.57,0.49,1.81,0.55,0.41,False
SemiBin_106,k__Bacteria (UID203),5449,103,57,51,52,0,0,0,0,70.28,0.0,0.0,1062,914,149,phylum,0.78,0.67,0.12,0.74,3.62,0.46,0.31,True
SemiBin_107,k__Bacteria (UID203),5449,104,58,96,8,0,0,0,0,12.07,0.0,0.0,806,786,159,kingdom,1.0,0.98,0.0,0.0,0.0,0.83,0.81,True
SemiBin_108,k__Bacteria (UID2566),525,208,136,132,72,4,0,0,0,28.58,0.23,100.0,736,692,183,phylum,0.99,0.93,0.57,0.03,0.06,0.66,0.62,False
SemiBin_109,p__Euryarchaeota (UID3),148,188,125,51,135,2,0,0,0,65.6,1.6,50.0,1409,1256,283,kingdom,1.0,0.89,0.29,0.05,0.11,0.63,0.56,True
