,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1,k__Bacteria (UID203),5449,104,58, 82,19, 2,1, 0, 0, 33.10,6.90,20.00,1527,1421,390,phylum,0.9,0.84,0.47,0.1,0.22,0.67,0.56,False
bin.10, k__Bacteria (UID203),5449,104,58, 97,7,0,0, 0, 0, 10.34,0.00, 0.00,326,266,85,phylum,0.84,0.69,0.11,0.51,2.12,0.55,0.38,True
bin.13,k__Bacteria (UID3187),2258,188, 117, 58, 117, 13, 0, 0, 0, 74.21,3.92,23.08,3484,3264,527,phylum,0.95,0.89,0.26,0.02,0.05,0.81,0.72,True
bin.15, k__Bacteria (UID203),5449,104,58, 91,13, 0,0, 0, 0, 11.72,0.00, 0.00,451,423,120,phylum,0.96,0.9,0.39,0.03,0.06,0.64,0.57,True
bin.16, c__Gammaproteobacteria (UID4202), 67, 481, 276,148, 327, 6,0, 0, 0, 75.17,1.48,16.67,2266,2215,347,genus,0.87,0.85,0.54,0.03,0.05,0.95,0.8,False
bin.17, k__Bacteria (UID203),5449,104,58, 94,10, 0,0, 0, 0, 13.79,0.00, 0.00,1306,1141,355,family,0.61,0.53,0.46,0.22,0.6,0.64,0.34,False
bin.18, k__Bacteria (UID203),5449,104,58, 87,15, 2,0, 0, 0, 15.05,3.45,100.00,408,382,116,order,0.87,0.82,0.56,0.06,0.14,0.84,0.68,False
bin.19,k__Archaea (UID2),207, 149, 107,113,36, 0,0, 0, 0, 27.73,0.00, 0.00,641,550,148,class,0.75,0.65,0.45,0.05,0.1,0.68,0.44,False
bin.2,k__Bacteria (UID203),5449,104,58, 32,46, 26, 0, 0, 0, 68.58, 19.70,61.54,3396,3152,649,class,0.84,0.78,0.4,0.06,0.13,0.87,0.68,True
bin.21, k__Bacteria (UID203),5449,104,58, 79,23, 2,0, 0, 0, 31.46,3.45, 0.00,803,741,212,phylum,0.92,0.85,0.22,0.03,0.07,0.72,0.61,True
bin.22, k__Bacteria (UID203),5449,104,58, 85,12, 7,0, 0, 0, 27.30,9.48,14.29,721,661,189,class,0.91,0.84,0.18,0.18,0.47,0.69,0.58,True
bin.24, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,237,28,16,kingdom,1.0,0.12,0.0,0.04,0.07,0.38,0.05,True
bin.26, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,460,382,90,family,0.64,0.53,0.76,0.04,0.08,0.83,0.44,False
bin.29, c__Gammaproteobacteria (UID4202), 67, 481, 276,361, 114, 6,0, 0, 0, 22.82,0.77,83.33,695,674,169,genus,0.78,0.76,0.63,0.04,0.09,0.83,0.63,False
bin.3,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,723,617,163,family,0.53,0.45,0.52,0.52,2.71,0.74,0.33,False
bin.31, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,474,446,79,phylum,0.93,0.87,0.86,0.04,0.08,0.85,0.74,False
bin.37,k__Archaea (UID2),207, 149, 107, 66,81, 2,0, 0, 0, 50.88,1.01,100.00,1237,1144,233,kingdom,1.0,0.92,0.37,0.02,0.04,0.84,0.78,True
bin.39, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,298,249,94,genus,0.58,0.49,0.83,0.2,0.51,0.73,0.36,False
bin.4,k__Bacteria (UID203),5449,104,58, 63,35, 5,1, 0, 0, 47.49, 12.07,12.50,3281,3067,646,genus,0.74,0.69,0.32,0.07,0.16,0.68,0.47,True
bin.5, k__Bacteria (UID3187),2258,188, 117,107,80, 1,0, 0, 0, 43.60,0.43,100.00,1798,1589,358,family,0.77,0.68,0.26,0.22,0.53,0.61,0.42,True
bin.6,k__Bacteria (UID203),5449,104,58, 88,11, 5,0, 0, 0, 19.12,6.90,80.00,674,640,178,class,0.83,0.79,0.44,0.07,0.16,0.72,0.56,True
bin.7,k__Bacteria (UID203),5449,104,58, 95,9,0,0, 0, 0,1.83,0.00, 0.00,2063,1646,356,genus,0.63,0.5,0.29,0.21,0.56,0.72,0.36,True
bin.9,p__Actinobacteria (UID1454), 732, 199, 116,161,38, 0,0, 0, 0, 18.14,0.00, 0.00,724,649,161,order,0.73,0.65,0.38,0.23,0.64,0.75,0.49,True
