sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_37.fa	OTU_97.4336.0	1.0	1.0	3730142	3730142	3730142	1.0	1.0	5	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_54.fa	OTU_97.427.0	1.0	1.0	2745272	2745272	2745272	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_41.fa	OTU_97.13702.0	0.9197347469163814	1.0	2424100	2229529	2229529	0.06060606060606061	1.0	33	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_42.fa	OTU_97.326.1	1.0	1.0	5107795	5107795	5107795	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_43.fa	OTU_97.29331.0	1.0	1.0	1809735	1809735	1809735	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_45.fa	OTU_97.44483.0	1.0	1.0	2974365	2974365	2974365	1.0	1.0	4	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_46.fa	OTU_97.326.0	1.0	1.0	4627890	4627890	4627890	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_51.fa	OTU_97.740.1	1.0	1.0	2186875	2186875	2186875	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_52.fa	OTU_97.44505.0	1.0	1.0	2089624	2089624	2089624	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_53.fa	OTU_97.740.0	1.0	1.0	3158342	3158342	3158342	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_55.fa	OTU_97.22911.0	1.0	1.0	5599727	5599727	5599727	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_3.fa	OTU_97.8940.0	0.9965191725182432	1.0	2556576	2547677	2547677	0.5	1.0	4	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_56.fa	OTU_97.2029.0	1.0	1.0	2664094	2664094	2664094	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_69.fa	OTU_97.27397.0	1.0	1.0	3773043	3773043	3773043	1.0	1.0	5	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_7.fa	OTU_97.498.0	0.8489752887228612	1.0	4835606	4105310	4105310	0.013513513513513514	1.0	74	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_81.fa	OTU_97.38031.0	1.0	1.0	3829154	3829154	3829154	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_84.fa	OTU_97.893.0	1.0	1.0	1778022	1778022	1778022	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_87.fa	OTU_97.7000.0	0.9961415558239826	1.0	4576456	4558798	4558798	0.5	1.0	4	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_9.fa	OTU_97.240.0	0.9308121727524725	1.0	4675360	4351882	4351882	0.045454545454545456	1.0	22	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_90.fa	OTU_97.16827.0	1.0	1.0	3561600	3561600	3561600	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_39.fa	OTU_97.2555.1	1.0	1.0	4352107	4352107	4352107	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_91.fa	OTU_97.41827.1	1.0	1.0	4662862	4662862	4662862	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_100.fa	OTU_97.156.0	1.0	1.0	5287943	5287943	5287943	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_24.fa	OTU_97.2472.0	1.0	1.0	5262203	5262203	5262203	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_38.fa	OTU_97.30248.0	0.9969667464624378	0.999783522115793	2432042	2424665	2425190	0.7894736842105263	0.9375	19	15	16
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_22.fa	OTU_97.30976.0	1.0	0.9953158490949782	1262591	1262591	1268533	1.0	0.9083333333333333	109	109	120
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_28.fa	OTU_97.44481.0	1.0	0.9922801256009701	2934472	2934472	2957302	1.0	0.9205776173285198	255	255	277
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_16.fa	OTU_97.44668.0	0.9983048092329843	0.9829993025941212	3014410	3009300	3061345	0.9885496183206107	0.8961937716262975	262	259	289
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_18.fa	OTU_97.7551.0	1.0	0.9707943133832918	3611250	3611250	3719892	1.0	0.8852941176470588	301	301	340
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_27.fa	OTU_97.43909.0	1.0	0.9654627461326201	1895661	1895661	1963474	1.0	0.8543689320388349	176	176	206
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_21.fa	OTU_97.4007.0	1.0	0.9645551115451209	3986541	3986541	4133036	1.0	0.8719211822660099	354	354	406
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_11.fa	OTU_97.2555.0	1.0	0.9644608369722256	2738330	2738330	2839234	1.0	0.8134206219312602	497	497	611
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_20.fa	OTU_97.28409.0	0.9813634525827124	0.9606640165829834	4773470	4684509	4876324	0.9625292740046838	0.8491735537190083	427	411	484
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_25.fa	OTU_97.35816.0	1.0	0.9550297052490953	2971000	2971000	3110898	1.0	0.8927444794952681	283	283	317
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_15.fa	OTU_97.43183.0	1.0	0.9502652596279003	3794833	3794833	3993446	1.0	0.8475935828877005	317	317	374
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_17.fa	OTU_97.16573.0	0.9952265581501628	0.9312882622230952	2315101	2304050	2474046	0.9839679358717435	0.728486646884273	499	491	674
