,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0, o__Actinomycetales (UID1593), 69, 400, 198,175, 219, 6,0, 0, 0, 59.14,1.18,50.00,2579,2483,508,genus,0.83,0.8,0.82,0.17,0.38,0.95,0.76,False
bin.10,k__Bacteria (UID203),5449,104,58, 84,18, 2,0, 0, 0, 29.31,3.45,50.00,518,483,110,phylum,0.94,0.88,0.85,0.25,0.6,0.56,0.49,False
bin.11,k__Bacteria (UID203),5449,104,58, 81,15, 7,1, 0, 0, 31.90, 12.07, 0.00,1137,1053,276,phylum,0.95,0.88,0.92,0.29,0.83,0.59,0.52,False
bin.12,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,481,370,106,class,0.92,0.7,0.2,0.41,1.37,0.56,0.39,True
bin.123, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,193,87,66,kingdom,0.99,0.45,0.0,0.0,0.0,0.39,0.18,True
bin.14,k__Bacteria (UID203),5449,103,58,102,1,0,0, 0, 0,1.72,0.00, 0.00,251,34,19,kingdom,1.0,0.14,0.0,0.03,0.06,0.5,0.07,True
bin.15,k__Bacteria (UID203),5449, 99,53, 92,7,0,0, 0, 0,9.43,0.00, 0.00,809,773,163,phylum,0.96,0.92,0.88,0.11,0.24,0.68,0.62,False
bin.18, k__Bacteria (UID2569),434, 278, 186, 45, 198, 33, 2, 0, 0, 84.67, 15.79, 5.13,2310,2156,340,phylum,0.96,0.9,0.84,0.15,0.36,0.57,0.51,False
bin.2, c__Gammaproteobacteria (UID4761), 52, 693, 297,369, 319, 5,0, 0, 0, 45.12,0.62,60.00,2079,2023,458,genus,0.92,0.9,0.2,0.1,0.21,0.85,0.76,True
bin.20,p__Proteobacteria (UID3880), 1495,261, 164,138,90, 31, 2, 0, 0, 41.70, 13.75,10.81,1767,1636,406,class,0.89,0.82,0.65,0.26,0.74,0.62,0.51,False
